INVOICE_CODE;INVOICE_DATE;RECIEVER_NO;DISCOUNT_RATE;INVOICE_TYPE;ITEM_CODE;ITEM_PRICE;ITEM_QUANTITY;ITEM_NOTES;ITEM_UPLOAD_ID;CURRENCY;CURRENCY_RATE;T1;T1_TYPE;T2;T2_TYPE;T3;T3_TYPE;T4;T4_TYPE;T5;T5_TYPE;T6;T6_TYPE;T7;T7_TYPE;T8;T8_TYPE;T9;T9_TYPE;T10;T10_TYPE;T11;T11_TYPE;T12;T12_TYPE;T13;T13_TYPE;T14;T14_TYPE;T15;T15_TYPE;T16;T16_TYPE;T17;T17_TYPE;T18;T18_TYPE;T19;T19_TYPE;T20;T20_TYPE
;;;;i;;;;;;EGP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;c;;;;;;USD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
